artist,song,genre,subgenre,year,beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20
Grauzone,Eisbaer,Rock,New Wave,1980,415,129.19921875,6.1338629722595215,0.0462389754152044,4542.197095701126,2137.599667487644,2407.162766576695,0.50052124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Tetris,Things I don't need,Rock,New Wave,2010,296,82.03125,9.47054958343506,0.02316918554214,4485.2309950734125,1881.08021401456,2865.555358029602,0.5466788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Las Eras,Virginia,Rock,New Wave,2024,367,129.19921875,5.347099781036377,0.0405317211695191,4123.607723457777,1967.1837031020573,2443.772446879292,0.6015703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31e-06,0.04662505,0.09306971,0.142221,0.15325034,0.18598132,0.17479862,0.1459796,0.17683382,0.14574246,0.17480448,0.17748113
Lebanon Hanover,Gallowdance,Rock,New Wave,2013,561,139.67483108,-3.092843770980835,0.0482251274596756,3514.4358755949497,1817.99133449216,2066.205627132644,0.49155226,0.0,4e-08,9e-08,5.04e-06,5.605e-05,0.00070041,0.00459835,0.01002157,0.01243102,0.01522939,0.01674014,0.017391,0.01975191,0.01964968,0.0206457,0.0205908,0.01972057,0.0198773,0.02189838,0.02309407
Linea Aspera,Malarone,Rock,New Wave,2012,358,89.10290948,2.579828977584839,0.0812224258919577,8219.628150611235,3623.0151620353695,3875.5028738532674,0.5221453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-08,2.65e-06,5.12e-06,1.185e-05,1.9e-05,2.942e-05,4.445e-05,5.951e-05,7.198e-05,8.107e-05,8.501e-05,8.498e-05,8.677e-05
Pleasure Symbols,Control,Rock,New Wave,2016,187,47.8515625,7.104936599731445,0.0233641401901398,3561.1208241549825,1608.8147714943198,2398.692378723721,0.59118414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-08,2.5e-07,2.6e-06,2.161e-05,0.09898529,0.13082294,0.20863241
Psyche,Goodbye Horses,Rock,New Wave,1996,496,126.04801829,4.792073249816895,0.0394690376916857,5056.838912215731,2286.6499064959166,2963.1342254851124,0.4302528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8e-07,4.385e-05,0.00010106,0.00010401,0.00010458,9.782e-05,0.00102066,0.00329138
Rue Oberkampf,Hope and Fear,Rock,New Wave,2022,666,126.04801829,8.344195365905762,0.0313630926209397,4410.445849889265,1913.930745100172,2572.0437704272726,0.5365476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sad lovers and Giants,Things we never did,Rock,New Wave,1982,494,135.99917763,-2.922624588012696,0.0639661655848891,5289.426066128209,2461.3593193261604,2703.6638622129035,0.44143507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ultra Sun,Distress,Rock,New Wave,2024,479,126.04801829,5.959661960601807,0.0384407452878627,4874.076335174573,2162.6164643618595,2882.24842050426,0.5708868,0.0,1.081e-05,0.07756481,0.1016846,0.11337195,0.13663766,0.12289211,0.12895665,0.13822396,0.17730826,0.1934378,0.195394,0.20023227,0.15960734,0.18043953,0.17871168,0.16714388,0.18827051,0.16791902,0.16602847
