beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20,file
568,[139.67483108],3.5636212825775146,0.06766374174953478,5629.475532100489,2730.995434150555,2736.327413241414,0.44698864,6.97301e-08,2.3586705e-07,1.1958339e-06,2.4041753e-06,2.9476216e-06,3.6417207e-06,4.0440264e-06,4.15136e-06,3.809845e-06,0.0015963787,0.0016261983,0.0016262055,0.0016465235,0.000702256,0.0010067049,0.0015571795,0.0020834492,0.0027526875,0.004027184,0.0053831176,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Sylver_Skin_Electronica_Dance_2001.mp3
568,[139.67483108],3.5636212825775146,0.06766374174953478,5629.475532100489,2730.995434150555,2736.327413241414,0.44698864,6.97301e-08,2.3586705e-07,1.1958339e-06,2.4041753e-06,2.9476216e-06,3.6417207e-06,4.0440264e-06,4.15136e-06,3.809845e-06,0.0015963787,0.0016261983,0.0016262055,0.0016465235,0.000702256,0.0010067049,0.0015571795,0.0020834492,0.0027526875,0.004027184,0.0053831176,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Sylver_Skin_Electronica_Dance_2024.mp3
367,[92.28515625],-10.575661659240723,0.08580928301190024,5872.541165230797,2939.682546334304,2637.581784508733,0.41125622,0.0,0.0,0.0,0.0,2.3285088e-15,2.9063713e-12,1.6412273e-10,4.868059e-08,1.3604631e-07,8.229431e-06,9.299819e-06,1.235184e-05,1.7516302e-05,1.976453e-05,2.2220693e-05,2.0682193e-05,1.661802e-05,4.487112e-05,0.032929298,0.059227172,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Sylver_Turn the tide_Electronica_Dance_2001.mp3
391,[126.04801829],-1.6400456428527832,0.03850474698725821,4022.3864764833434,1897.68164596918,2193.3829330021567,0.52970356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4856506e-12,3.0280756e-07,0.0070329835,0.17455786,0.25026923,0.29917055,0.34118792,0.34296653,0.34777573,0.35086805,0.3568589,0.3661036,0.36971715,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Yolanda Be Cool & DCUP_We No Speak Americano_Electronica_Dance_2010.mp3
415,[129.19921875],6.1338629722595215,0.04623897541520446,4542.197095701126,2137.5996674876437,2407.162766576695,0.50052124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Grauzone_Eisbaer_Rock_New Wave_1980.mp3
296,[82.03125],9.470549583435059,0.02316918554214004,4485.2309950734125,1881.0802140145602,2865.555358029602,0.5466788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Human Tetris_Things I don't need_Rock_New Wave_2010.mp3
367,[129.19921875],5.347099781036377,0.040531721169519155,4123.607723457777,1967.1837031020575,2443.7724468792917,0.6015703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9945553e-13,1.3146922e-06,0.046625055,0.09306971,0.14222112,0.15325034,0.18598132,0.17479862,0.1459796,0.17683382,0.14574246,0.17480448,0.17748113,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Las Eras_Virginia_Rock_New Wave_2024.mp3
561,[139.67483108],-3.092843770980835,0.048225127459675644,3514.4358755949497,1817.99133449216,2066.2056271326433,0.49155226,3.7984818e-10,3.9251773e-08,9.331967e-08,5.0434137e-06,5.6047327e-05,0.0007004081,0.0045983503,0.0100215655,0.012431016,0.015229387,0.016740141,0.017390754,0.019751906,0.019649677,0.020645697,0.0205908,0.019720567,0.019877302,0.021898376,0.023094075,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Lebanon Hanover_Gallowdance_Rock_New Wave_2013.mp3
358,[89.10290948],2.579828977584839,0.08122242589195779,8219.628150611235,3623.0151620353704,3875.5028738532674,0.5221453,0.0,0.0,0.0,0.0,3.3377804e-13,5.341491e-10,1.2471176e-09,8.0162415e-08,2.65348e-06,5.1195084e-06,1.1846805e-05,1.9234149e-05,2.9420176e-05,4.4448858e-05,5.95066e-05,7.197896e-05,8.106529e-05,8.501042e-05,8.497599e-05,8.676732e-05,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Linea Aspera_Malarone_Rock_New Wave_2012.mp3
187,[47.8515625],7.104936599731445,0.023364140190139857,3561.1208241549825,1608.8147714943198,2398.6923787237215,0.59118414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9020262e-13,2.558251e-11,8.844447e-10,7.0379606e-08,2.5283018e-07,2.5950105e-06,2.161408e-05,0.09898529,0.13082294,0.20863241,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Pleasure Symbols_Control_Rock_New Wave_2016.mp3
