beats,tempo,rmse,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,file
132.5677433767872,[135.99917763],0.0625748,-239.48756,138.5308,-10.555657,48.70763,-16.36196,31.737093,-13.473442,19.849789,-7.8881826,10.988008,-1.5672346,5.451635,-2.194001,0.6000444,3.642624,-1.9757899,3.8006887,-3.8860726,5.159794,-6.3270674,0.051843380420499345,6648.201313033837,2945.534444132363,3629.996872273245,0.5103594,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Sash! feat Tina Cousins_Mysterious Times_Electronica_Dance_2012.mp3
123.0718135640454,[123.046875],0.15167269,-135.1153,143.61009,-28.203485,46.56003,-16.526424,28.35861,-12.3527355,12.936286,-5.837355,1.1927238,0.1574741,3.0806515,2.3704448,-4.0457816,5.561239,-4.1925178,2.7621667,-4.418277,3.5429013,-3.1508503,0.061215555848469876,6237.987947268297,2808.5078104096474,3245.4528198847415,0.4529915,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Snap!_Rhythm is a Dancer_Electronica_Dance_1992.mp3
136.56863543314415,[139.67483108],0.15930198,-159.43013,145.52066,-40.644703,55.77934,-12.119352,29.007885,-0.46283856,8.854417,10.673668,-4.7222805,13.486772,-6.5511456,6.934778,-3.8737402,4.040353,0.2369367,-1.7594968,6.179927,-4.8536634,4.5176225,0.06766374174953478,5629.475532100489,2730.995434150555,2736.327413241414,0.44698864,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Sylver_Skin_Electronica_Dance_2001.mp3
136.56863543314415,[139.67483108],0.15930198,-159.43013,145.52066,-40.644703,55.77934,-12.119352,29.007885,-0.46283856,8.854417,10.673668,-4.7222805,13.486772,-6.5511456,6.934778,-3.8737402,4.040353,0.2369367,-1.7594968,6.179927,-4.8536634,4.5176225,0.06766374174953478,5629.475532100489,2730.995434150555,2736.327413241414,0.44698864,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Sylver_Skin_Electronica_Dance_2024.mp3
90.01635174418604,[92.28515625],0.04566547,-294.8764,144.59726,-54.462414,71.85527,-25.247883,13.247288,9.185326,-3.0536153,19.107609,-14.058511,9.21243,-6.0515904,-6.9383674,2.1708097,-2.9084556,4.299277,-2.2866094,6.391818,0.76368886,-1.722426,0.08580928301190024,5872.541165230797,2939.682546334304,2637.581784508733,0.41125622,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Sylver_Turn the tide_Electronica_Dance_2001.mp3
124.08964512711864,[126.04801829],0.23723063,-202.86807,148.14609,-37.639523,59.849857,2.591407,8.189187,8.527426,-10.972991,18.183182,-9.646135,1.0518111,1.9528285,-8.685678,6.0356116,-6.110543,4.9133463,1.3573548,-1.4795431,9.1973,-3.4758396,0.03850474698725821,4022.3864764833434,1897.68164596918,2193.3829330021567,0.52970356,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Yolanda Be Cool & DCUP_We No Speak Americano_Electronica_Dance_2010.mp3
104.53826434246443,[129.19921875],0.3096399,-150.14568,138.45377,-23.744698,65.89295,-2.1468368,17.144611,12.511876,-4.6215057,16.137257,-3.7677855,10.901034,0.31857175,2.8066452,10.320562,-4.439017,4.688333,-1.8595133,0.16410364,1.5515071,-3.306414,0.04623897541520446,4542.197095701126,2137.5996674876437,2407.162766576695,0.50052124,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Grauzone_Eisbaer_Rock_New Wave_1980.mp3
72.71908870507701,[82.03125],0.31224743,-144.98973,148.33759,2.4592278,56.84506,3.464771,29.366528,-0.5695853,16.576601,-1.0120422,7.600205,1.2192556,3.0865269,0.7327317,-2.6910138,2.4505777,-3.5279932,0.358932,-3.0659723,3.0782294,-1.5100148,0.02316918554214004,4485.2309950734125,1881.0802140145602,2865.555358029602,0.5466788,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Human Tetris_Things I don't need_Rock_New Wave_2010.mp3
118.9118828369906,[129.19921875],0.18082577,-186.15186,155.94966,-13.007477,52.68526,5.763152,20.722866,9.217537,13.20858,4.980341,0.72305524,2.231495,4.2436514,-1.0539665,2.368488,0.8594695,1.7641488,4.9503713,1.423312,2.9882665,-0.9287034,0.040531721169519155,4123.607723457777,1967.1837031020575,2443.7724468792917,0.6015703,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Las Eras_Virginia_Rock_New Wave_2024.mp3
127.77569276112825,[139.67483108],0.11239735,-268.35986,162.85982,-11.556087,38.16556,19.479752,8.866363,11.853044,10.192794,-2.2337756,-1.7748033,-4.413493,0.18697476,-3.4732325,-0.9476492,-6.9434943,-5.8341875,-0.32523778,-0.9677999,1.893666,-4.5281615,0.048225127459675644,3514.4358755949497,1817.99133449216,2066.2056271326433,0.49155226,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Lebanon Hanover_Gallowdance_Rock_New Wave_2013.mp3
